,Quarter,Time,Tm,Detail,WAS,DAL
0,1.0,10:46,Cowboys,David Buehler 42 yard field goal,0,3
1,1.0,4:09,Cowboys,Miles Austin 3 yard pass from Jon Kitna (David Buehler kick),0,10
2,2.0,12:50,Cowboys,David Buehler 20 yard field goal,0,13
3,2.0,9:35,Redskins,Ryan Torain 19 yard pass from Rex Grossman (Graham Gano kick),7,13
4,2.0,3:44,Cowboys,Jason Witten 14 yard pass from Jon Kitna (David Buehler kick),7,20
5,3.0,12:06,Cowboys,Tashard Choice 3 yard rush (David Buehler kick),7,27
6,3.0,9:49,Redskins,Santana Moss 10 yard pass from Rex Grossman (Graham Gano kick),14,27
7,3.0,4:26,Cowboys,David Buehler 20 yard field goal,14,30
8,4.0,13:44,Redskins,Santana Moss 5 yard pass from Rex Grossman (Chris Cooley pass from Rex Grossman),22,30
9,4.0,7:37,Redskins,Chris Cooley 5 yard pass from Rex Grossman (Mike Sellers pass from Rex Grossman),30,30
10,4.0,0:50,Cowboys,David Buehler 39 yard field goal,30,33
