,Quarter,Tm,Detail,NYG,DAL
0,2.0,Giants,Doug Kotar 2 yard rush (Pete Gogolak kick),7,0
1,2.0,Giants,Joe Dawkins 14 yard pass from Norm Snead (Pete Gogolak kick),14,0
2,4.0,Cowboys,Bob Hayes 35 yard pass from Roger Staubach,14,6
