,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,Earnest Byner 2 yard rush (Matt Bahr kick),7,0
1,2.0,Browns,Matt Bahr 29 yard field goal,10,0
2,2.0,Oilers,Larry Moriarty 4 yard rush (Joe Cooper kick),10,7
3,3.0,Oilers,Joe Cooper 33 yard field goal,10,10
4,3.0,Browns,Earnest Byner 15 yard rush (Matt Bahr kick),17,10
5,3.0,Oilers,Larry Moriarty 4 yard rush (Joe Cooper kick),17,17
6,4.0,Browns,Johnny Davis 2 yard rush (Matt Bahr kick),24,17
7,4.0,Oilers,Joe Cooper 26 yard field goal,24,20
8,4.0,Browns,Matt Bahr 29 yard field goal,27,20
