,Quarter,Tm,Detail,MIA,SEA
0,1.0,Dolphins,Leland Douglas 14 yard pass from Kyle Mackey (Willie Beecher kick),7,0
1,1.0,Seahawks,Curt Pardridge 25 yard pass from Bruce Mathison (Scott Hagler kick),7,7
2,2.0,Seahawks,Scott Hagler 20 yard field goal,7,10
3,3.0,Dolphins,Willie Beecher 34 yard field goal,10,10
4,3.0,Dolphins,Willie Beecher 40 yard field goal,13,10
5,4.0,Seahawks,Mark Keel 24 yard pass from Bruce Mathison (Scott Hagler kick),13,17
6,4.0,Dolphins,John Tagliaferri 2 yard rush (Willie Beecher kick),20,17
7,4.0,Seahawks,Rick Parros 1 yard rush (Scott Hagler kick),20,24
