,Quarter,Tm,Detail,NWE,IND
0,1.0,Colts,Randy McMillan 1 yard rush (Dean Biasucci kick),0,7
1,1.0,Patriots,Tony Franklin 38 yard field goal,3,7
2,2.0,Colts,Jack Trudeau 1 yard rush (Dean Biasucci kick),3,14
3,2.0,Patriots,Tony Franklin 31 yard field goal,6,14
4,3.0,Patriots,Willie Scott 8 yard pass from Tony Eason (Tony Franklin kick),13,14
5,3.0,Patriots,Irving Fryar 2 yard pass from Tony Eason (Tony Franklin kick),20,14
6,4.0,Patriots,Tony Franklin 24 yard field goal,23,14
7,4.0,Patriots,Mosi Tatupu 1 yard rush (Tony Franklin kick),30,14
8,4.0,Colts,Matt Bouza 19 yard pass from Jack Trudeau (Dean Biasucci kick),30,21
