,Quarter,Tm,Detail,ATL,DET
0,1.0,Falcons,Floyd Dixon 21 yard pass from Turk Schonert (Ali Haji-Sheikh kick),7,0
1,2.0,Falcons,Gerald Riggs 1 yard rush (Ali Haji-Sheikh kick),14,0
2,3.0,Falcons,Ali Haji-Sheikh 25 yard field goal,17,0
3,4.0,Lions,Pete Mandley 81 yard punt return,17,6
4,4.0,Falcons,Ali Haji-Sheikh 21 yard field goal,20,6
