,Quarter,Tm,Detail,BAL,NYG
0,1.0,Colts,Lou Michaels 10 yard field goal,3,0
1,2.0,Colts,Willie Richardson 13 yard pass from Earl Morrall (Lou Michaels kick),10,0
2,2.0,Colts,Jimmy Orr 15 yard pass from Earl Morrall,16,0
3,4.0,Colts,Tom Matte 2 yard rush (Lou Michaels kick),23,0
4,4.0,Colts,Lou Michaels 27 yard field goal,26,0
