,Quarter,Time,Tm,Detail,ARI,WAS
0,1,0:00,Redskins,Scott Blanton 20 yard field goal,0,3
1,1,0:00,Cardinals,Tommy Bennett blocked punt recovery in end zone (Kevin Butler kick),7,3
2,2,0:00,Redskins,Michael Westbrook 5 yard pass from Gus Frerotte (Scott Blanton kick),7,10
3,3,0:00,Cardinals,Kevin Butler 32 yard field goal,10,10
4,4,0:00,Redskins,Scott Blanton 19 yard field goal,10,13
5,4,0:00,Cardinals,Kevin Butler 47 yard field goal,13,13
6,OT,0:00,Redskins,Michael Westbrook 40 yard pass from Gus Frerotte,13,19
