,Quarter,Time,Tm,Detail,IND,CIN
0,1.0,,Colts,Marshall Faulk 1 yard rush (Dean Biasucci kick),7,0
1,1.0,,Bengals,Doug Pelfrey 29 yard field goal,7,3
2,2.0,,Bengals,Doug Pelfrey 46 yard field goal,7,6
3,3.0,,Bengals,Darnay Scott 15 yard pass from Jeff Blake (Doug Pelfrey kick),7,13
4,4.0,,Colts,Dean Biasucci 35 yard field goal,10,13
5,4.0,,Colts,Sean Dawkins 8 yard pass from Don Majkowski (Dean Biasucci kick),17,13
