,Quarter,Tm,Detail,BAL,SFO
0,1.0,49ers,Joe Perry 40 yard rush (Gordie Soltau kick),0,7
1,2.0,49ers,Gordie Soltau 3 yard pass from Y.A. Tittle (Gordie Soltau kick),0,14
2,2.0,49ers,Joe Perry 3 yard pass from Y.A. Tittle (Gordie Soltau kick),0,21
3,2.0,49ers,Billy Wilson 3 yard pass from Y.A. Tittle (Gordie Soltau kick),0,28
4,2.0,49ers,Gordie Soltau 27 yard field goal,0,31
5,2.0,Colts,Dan Edwards 12 yard pass from Ed Mioduszewski (Buck McPhail kick),7,31
6,3.0,49ers,Gordie Soltau 9 yard pass from Y.A. Tittle (Gordie Soltau kick),7,38
7,4.0,49ers,Joe Perry 1 yard rush (Gordie Soltau kick),7,45
8,4.0,Colts,Buddy Young 5 yard pass from Ed Mioduszewski (Buck McPhail kick),14,45
