,Quarter,Tm,Detail,DET,CRD
0,1.0,Cardinals,Pat Harder 1 yard rush (Ward Cuff kick),0,7
1,2.0,Cardinals,Jimmy Strausbaugh 6 yard rush (Ward Cuff kick),0,14
2,2.0,Cardinals,Mal Kutner 59 yard pass from Ray Mallouf (Ward Cuff kick),0,21
3,2.0,Cardinals,Billy Dewell 15 yard pass from Paul Christman (Ward Cuff kick),0,28
4,3.0,Lions,Ivan Schottel 70 yard pass from Billy deCorrevont (Chuck DeShane kick),7,28
5,3.0,Cardinals,Ward Cuff 23 yard field goal,7,31
6,4.0,Cardinals,Ward Cuff 41 yard field goal,7,34
7,4.0,Lions,Ed Frutig 17 yard pass from Billy deCorrevont (Damon Tassos kick),14,34
