,Quarter,Tm,Detail,MIN,NYG
0,1.0,Vikings,Fred Cox 18 yard field goal,3,0
1,1.0,Giants,Clarence Childs 100 yard kickoff return (Don Chandler kick),3,7
2,2.0,Vikings,Hal Bedsole 43 yard pass from Fran Tarkenton (Fred Cox kick),10,7
3,2.0,Vikings,Fran Tarkenton 1 yard rush (Fred Cox kick),17,7
4,2.0,Giants,Frank Gifford 11 yard pass from Gary Wood (Don Chandler kick),17,14
5,2.0,Vikings,Fred Cox 47 yard field goal,20,14
6,3.0,Giants,Aaron Thomas 42 yard pass from Gary Wood (Don Chandler kick),20,21
7,4.0,Vikings,Bill Brown 30 yard pass from Fran Tarkenton (Fred Cox kick),27,21
8,4.0,Vikings,Fred Cox 27 yard field goal,30,21
