,Quarter,Time,Tm,Detail,ATL,CAR
0,1.0,,Panthers,Tim Biakabutuka 12 yard rush (John Kasay kick),0,7
1,1.0,,Panthers,Mark Carrier 16 yard pass from Kerry Collins (John Kasay kick),0,14
2,2.0,,Falcons,Morten Andersen 34 yard field goal,3,14
3,3.0,,Falcons,Morten Andersen 44 yard field goal,6,14
4,4.0,,Panthers,Tim Biakabutuka 26 yard rush (John Kasay kick),6,21
5,4.0,,Falcons,Jamal Anderson 14 yard pass from Billy Joe Tolliver (pass failed),12,21
