,Quarter,Time,Tm,Detail,IND,GNB
0,1.0,12:15,Packers,"Safety,",0,2
1,1.0,2:33,Packers,Ryan Longwell 42 yard field goal,0,5
2,2.0,9:45,Packers,Tyrone Davis 1 yard pass from Brett Favre (Ryan Longwell kick),0,12
3,2.0,3:59,Packers,Antonio Freeman 17 yard pass from Brett Favre (Ryan Longwell kick),0,19
4,3.0,8:20,Colts,Mike Vanderjagt 38 yard field goal,3,19
5,4.0,10:35,Colts,E.G. Green 34 yard pass from Peyton Manning (Mike Vanderjagt kick),10,19
6,4.0,4:32,Colts,Jim Finn 5 yard pass from Peyton Manning (Mike Vanderjagt kick),17,19
7,4.0,4:16,Packers,Allen Rossum 92 yard kickoff return (Ryan Longwell kick),17,26
8,4.0,2:39,Colts,Jerome Pathon 11 yard pass from Peyton Manning (Mike Vanderjagt kick),24,26
