,Quarter,Time,Tm,Detail,PIT,SDG
0,2.0,9:14,Steelers,Ben Roethlisberger 7 yard rush (Jeff Reed kick),7,0
1,2.0,1:37,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),14,0
2,2.0,0:34,Chargers,Antonio Gates 11 yard pass from Drew Brees (Nate Kaeding kick),14,7
3,3.0,9:42,Chargers,Nate Kaeding 34 yard field goal,14,10
4,3.0,3:54,Chargers,Nate Kaeding 32 yard field goal,14,13
5,4.0,11:41,Chargers,Nate Kaeding 41 yard field goal,14,16
6,4.0,10:30,Steelers,Heath Miller 16 yard pass from Ben Roethlisberger (Jeff Reed kick),21,16
7,4.0,4:42,Chargers,LaDainian Tomlinson 2 yard rush,21,22
8,4.0,0:06,Steelers,Jeff Reed 40 yard field goal,24,22
