,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Patriots,Harold Jackson 49 yard pass from Steve Grogan (John Smith kick),0,7
1,1.0,Patriots,Stanley Morgan 37 yard pass from Steve Grogan (John Smith kick),0,14
2,1.0,Jets,Pat Leahy 30 yard field goal,3,14
3,2.0,Patriots,Stanley Morgan 50 yard pass from Steve Grogan (John Smith kick),3,21
4,2.0,Patriots,Andy Johnson 2 yard rush (John Smith kick),3,28
5,2.0,Patriots,Harold Jackson 44 yard pass from Steve Grogan (John Smith kick),3,35
6,3.0,Patriots,Harold Jackson 28 yard pass from Steve Grogan (John Smith kick),3,42
7,4.0,Patriots,Don Westbrook 14 yard pass from Tom Owen (John Smith kick),3,49
8,4.0,Patriots,Allan Clark 1 yard rush (John Smith kick),3,56
