,Quarter,Tm,Detail,NWE,SDG
0,1.0,Patriots,Don Hasselbeck 1 yard pass from Steve Grogan (John Smith kick),7,0
1,1.0,Chargers,Clarence Williams 1 yard rush,7,6
2,3.0,Chargers,Rickey Young 1 yard rush (Rolf Benirschke kick),7,13
3,3.0,Patriots,Ike Forte 7 yard rush (John Smith kick),14,13
4,4.0,Patriots,John Smith 28 yard field goal,17,13
5,4.0,Patriots,Don Hasselbeck 4 yard pass from Steve Grogan (John Smith kick),24,13
6,4.0,Chargers,Charlie Joiner 16 yard pass from Bill Munson (Rolf Benirschke kick),24,20
