,Quarter,Tm,Detail,SEA,SDG
0,1.0,Chargers,Keith Browner 55 yard interception return (Vince Abbott kick),0,7
1,2.0,Chargers,Vince Abbott 48 yard field goal,0,10
2,2.0,Seahawks,Norm Johnson 40 yard field goal,3,10
3,4.0,Seahawks,Norm Johnson 42 yard field goal,6,10
4,4.0,Chargers,Gary Anderson 25 yard rush (Vince Abbott kick),6,17
