,Quarter,Tm,Detail,CRD,WAS
0,1.0,Redskins,Don Bosseler 1 yard rush (Sam Baker kick),0,7
1,1.0,Cardinals,King Hill 1 yard rush (Bobby Joe Conrad kick),7,7
2,3.0,Redskins,Bill Anderson 57 yard pass from Ralph Guglielmi (Sam Baker kick),7,14
3,4.0,Redskins,Ed Sutton 1 yard rush (Sam Baker kick),7,21
4,4.0,Cardinals,King Hill 1 yard rush (Bobby Joe Conrad kick),14,21
5,4.0,Redskins,"Safety, Hill tackled in end zone by Gob",14,23
