,Quarter,Tm,Detail,NYG,PHI
0,1.0,Giants,Ward Cuff 19 yard field goal,3,0
1,2.0,Giants,Clint McClain 1 yard rush (Ward Cuff kick),10,0
2,2.0,Giants,Ward Cuff 41 yard pass from Kay Eakin (Ward Cuff kick),17,0
3,4.0,Giants,Andy Marefos 1 yard rush (Ward Cuff kick),24,0
