,Quarter,Time,Tm,Detail,WAS,TAM
0,1.0,,Buccaneers,Jackie Harris 22 yard pass from Trent Dilfer (Michael Husted kick),0,7
1,1.0,,Buccaneers,Michael Husted 42 yard field goal,0,10
2,2.0,4:25,Redskins,Scott Blanton 29 yard field goal,3,10
3,2.0,4:25,Buccaneers,Michael Husted 35 yard field goal,3,13
4,3.0,4:25,Buccaneers,Michael Husted 19 yard field goal,3,16
5,3.0,4:25,Buccaneers,Mike Alstott 13 yard rush (Jackie Harris pass from Trent Dilfer),3,24
6,4.0,4:25,Redskins,Henry Ellard 3 yard pass from Gus Frerotte (Scott Blanton kick),10,24
