,Quarter,Tm,Detail,HAM,DAY
0,1.0,Triangles,Russ Hathaway 15 yard field goal,0,3
1,3.0,Triangles,Al Mahrt 30 yard pass from (Russ Hathaway kick),0,10
2,3.0,Triangles,Dutch Thiele 10 yard pass from Al Mahrt (Russ Hathaway kick),0,17
3,4.0,Triangles,Harold Fenner 30 yard field goal,0,20
