,Quarter,Time,Tm,Detail,NYG,ARI
0,1.0,6:18,Cardinals,Neil Rackers 34 yard field goal,0,3
1,2.0,11:38,Giants,Derrick Ward 1 yard rush (John Carney kick),7,3
2,2.0,7:51,Cardinals,Tim Hightower 4 yard rush (pass failed),7,9
3,2.0,6:51,Giants,John Carney 33 yard field goal,10,9
4,2.0,3:49,Cardinals,Neil Rackers 20 yard field goal,10,12
5,2.0,1:08,Giants,Amani Toomer 12 yard pass from Eli Manning (John Carney kick),17,12
6,3.0,10:35,Giants,Madison Hedgecock 2 yard pass from Eli Manning (John Carney kick),24,12
7,3.0,0:49,Cardinals,Tim Hightower 1 yard rush (Neil Rackers kick),24,19
8,4.0,11:15,Giants,Kevin Boss 10 yard pass from Eli Manning (John Carney kick),31,19
9,4.0,6:17,Giants,John Carney 27 yard field goal,34,19
10,4.0,4:02,Cardinals,Anquan Boldin 5 yard pass from Kurt Warner (Neil Rackers kick),34,26
11,4.0,1:55,Giants,John Carney 33 yard field goal,37,26
12,4.0,0:31,Cardinals,Neil Rackers 44 yard field goal,37,29
