,Quarter,Tm,Detail,SEA,CIN
0,1.0,Bengals,Stanley Wilson 3 yard rush (Jim Breech kick),0,7
1,2.0,Bengals,Stanley Wilson 3 yard rush (Jim Breech kick),0,14
2,2.0,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),0,21
3,4.0,Seahawks,John Williams 7 yard pass from Dave Krieg (Norm Johnson kick),7,21
4,4.0,Seahawks,Dave Krieg 1 yard rush,13,21
