,Quarter,Tm,Detail,ATL,NWE
0,1.0,Falcons,Mick Luckhurst 41 yard field goal,3,0
1,1.0,Patriots,Tony Franklin 32 yard field goal,3,3
2,2.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),10,3
3,2.0,Patriots,Tony Collins 26 yard pass from Tony Eason,10,9
4,3.0,Patriots,Tony Franklin 33 yard field goal,10,12
5,3.0,Patriots,Irving Fryar 59 yard punt return (Tony Franklin kick),10,19
6,4.0,Patriots,Tony Franklin 31 yard field goal,10,22
7,4.0,Patriots,Tony Franklin 32 yard field goal,10,25
8,4.0,Falcons,Gerald Riggs 1 yard rush (Rick Donnelly kick),17,25
