,Quarter,Tm,Detail,NWE,SFO
0,2.0,Patriots,Stanley Morgan 55 yard pass from Steve Grogan (Greg Davis kick),7,0
1,2.0,49ers,Jerry Rice 3 yard pass from Joe Montana (Mike Cofer kick),7,7
2,2.0,49ers,Mike Cofer 23 yard field goal,7,10
3,2.0,Patriots,Greg Davis 49 yard field goal,10,10
4,2.0,49ers,Wesley Walls 1 yard pass from Steve Young (Mike Cofer kick),10,17
5,3.0,Patriots,Stanley Morgan 19 yard pass from Steve Grogan (Greg Davis kick),17,17
6,3.0,49ers,Jerry Rice 50 yard pass from Steve Young (Mike Cofer kick),17,24
7,4.0,Patriots,Greg Davis 21 yard field goal,20,24
8,4.0,49ers,John Taylor 43 yard pass from Steve Young (Mike Cofer kick),20,31
9,4.0,49ers,Roger Craig 3 yard rush,20,37
