,Quarter,Tm,Detail,CHI,DAL
0,1.0,Bears,Walter Payton 1 yard rush (Kevin Butler kick),7,0
1,2.0,Bears,Neal Anderson 58 yard pass from Doug Flutie (Kevin Butler kick),14,0
2,2.0,Bears,Willie Gault 33 yard pass from Doug Flutie (Kevin Butler kick),21,0
3,3.0,Bears,Kevin Butler 31 yard field goal,24,0
4,4.0,Cowboys,Rafael Septien 50 yard field goal,24,3
5,4.0,Cowboys,Mike Renfro 11 yard pass from Steve Pelluer (Rafael Septien kick),24,10
