,Quarter,Tm,Detail,GNB,CRD
0,1.0,Packers,Bob Monnett 60 yard rush (Ernie Smith kick),7,0
1,1.0,Cardinals,Bill Smith 30 yard field goal,7,3
2,1.0,Cardinals,Al Nichelini 10 yard rush,7,9
