,Quarter,Tm,Detail,DAL,OAK
0,1.0,Cowboys,Drew Pearson offensive fumble recovery in end zone (Efren Herrera kick),7,0
1,1.0,Raiders,George Blanda 31 yard field goal,7,3
2,1.0,Cowboys,"Safety, center snap fumbled out of end zone",9,3
3,2.0,Raiders,Fred Biletnikoff 9 yard pass from Ken Stabler (George Blanda kick),9,10
4,2.0,Raiders,Charlie Smith 14 yard pass from Ken Stabler (George Blanda kick),9,17
5,3.0,Raiders,Cliff Branch 28 yard pass from George Blanda (George Blanda kick),9,24
6,3.0,Cowboys,Doug Dennison 1 yard rush (Efren Herrera kick),16,24
7,4.0,Raiders,George Blanda 34 yard field goal,16,27
8,4.0,Cowboys,Doug Dennison 2 yard rush (Efren Herrera kick),23,27
