,Quarter,Tm,Detail,PHI,NYG
0,1.0,Eagles,Hank Reese 43 yard field goal,3,0
1,2.0,Eagles,Theodore Schmitt 63 yard fumble return (Fran Murray kick),10,0
2,2.0,Giants,Jiggs Kline 4 yard pass from Eddie Miller (Ken Strong kick),10,7
3,3.0,Giants,Hank Soar 40 yard interception return (Hank Soar kick),10,14
4,3.0,Giants,Ward Cuff 38 yard field goal,10,17
5,4.0,Giants,Len Barnum 1 yard rush (Ken Strong kick),10,24
6,4.0,Giants,Ken Strong 19 yard field goal,10,27
