,Quarter,Tm,Detail,MIL,RAC
0,1,Tornadoes,"Safety,",0,2
1,2,Badgers,Johnny Heimsch 1 yard rush (Roger Ashmore kick),7,2
2,4,Badgers,Johnny Bryan 2 yard rush,13,2
