,Quarter,Tm,Detail,RAM,CHI
0,2.0,Bears,Bill Osmanski 4 yard rush,0,6
1,2.0,Bears,Bill Osmanski 4 yard rush (Bob Snyder kick),0,13
2,2.0,Rams,Red Hickey 34 yard pass from Parker Hall (Chet Adams kick),7,13
3,2.0,Bears,Lee Artoe 25 yard field goal,7,16
4,3.0,Bears,Hugh Gallarneau 6 yard rush,7,22
5,3.0,Rams,Parker Hall 3 yard rush,13,22
6,4.0,Bears,Hal Lahar 20 yard field goal,13,25
7,4.0,Bears,George McAfee 42 yard touchdown on a lateral,13,31
