,Quarter,Time,Tm,Detail,CAR,TAM
0,1.0,6:06,Panthers,Steve Smith 20 yard pass from Rodney Peete (Shayne Graham kick),7,0
1,2.0,9:27,Buccaneers,Keyshawn Johnson 1 yard pass from Brad Johnson (Martin Gramatica kick),7,7
2,2.0,6:25,Panthers,Shayne Graham 42 yard field goal,10,7
3,2.0,3:00,Buccaneers,Martin Gramatica 20 yard field goal,10,10
4,3.0,1:28,Buccaneers,Keenan McCardell 22 yard pass from Brad Johnson (Martin Gramatica kick),10,17
5,4.0,8:03,Buccaneers,Martin Gramatica 32 yard field goal,10,20
6,4.0,3:57,Buccaneers,Martin Gramatica 41 yard field goal,10,23
