,Quarter,Tm,Detail,NYG,DAL
0,1.0,Cowboys,Herschel Walker 1 yard rush (Roger Ruzek kick),0,7
1,2.0,Giants,Joe Morris 5 yard rush (Raul Allegre kick),7,7
2,2.0,Giants,Raul Allegre 35 yard field goal,10,7
3,2.0,Cowboys,Doug Cosbie 2 yard pass from Danny White (Roger Ruzek kick),10,14
4,3.0,Giants,Lionel Manuel 50 yard pass from Phil Simms (Raul Allegre kick),17,14
5,4.0,Giants,Lionel Manuel 33 yard pass from Phil Simms (Raul Allegre kick),24,14
6,4.0,Cowboys,Roger Ruzek 34 yard field goal,24,17
7,4.0,Cowboys,Jim Jeffcoat 26 yard interception return (Roger Ruzek kick),24,24
8,4.0,Cowboys,Roger Ruzek 49 yard field goal,24,27
9,4.0,Cowboys,Roger Ruzek 40 yard field goal,24,30
10,4.0,Cowboys,Roger Ruzek 35 yard field goal,24,33
