,Quarter,Tm,Detail,MIN,DAL
0,1.0,Cowboys,Golden Richards 58 yard pass from Roger Staubach (Efren Herrera kick),0,7
1,1.0,Vikings,Fred Cox 46 yard field goal,3,7
2,2.0,Vikings,Chuck Foreman 66 yard pass from Fran Tarkenton (Fred Cox kick),10,7
3,2.0,Vikings,Fred Cox 30 yard field goal,13,7
4,3.0,Vikings,Chuck Foreman 13 yard pass from Fran Tarkenton (Fred Cox kick),20,7
5,4.0,Cowboys,Walt Garrison 5 yard pass from Roger Staubach (Efren Herrera kick),20,14
6,4.0,Cowboys,Calvin Hill 6 yard rush (Efren Herrera kick),20,21
7,4.0,Vikings,Fred Cox 27 yard field goal,23,21
