,Quarter,Tm,Detail,ATL,SFO
0,1.0,Falcons,Cannonball Butler 4 yard rush (Bob Etter kick),7,0
1,1.0,Falcons,Jim Weatherford 74 yard defensive fumble return (Bob Etter kick),14,0
2,2.0,49ers,Roland Lakes 2 yard defensive fumble return (Tommy Davis kick),14,7
3,4.0,Falcons,Gail Cogdill 20 yard pass from Bruce Lemmerman (Bob Etter kick),21,7
