,Quarter,Tm,Detail,NYG,CHI
0,2.0,Giants,Dutch Kitzmiller 3 yard rush (Hap Moran kick),7,0
1,3.0,Giants,Dutch Kitzmiller 15 yard rush,13,0
2,3.0,Giants,Len Sedbrook 2 yard rush,19,0
3,4.0,Bears,Dick Nesbitt 2 yard rush,19,6
4,4.0,Giants,Dale Burnett 7 yard pass from Tiny Feather,25,6
