,Quarter,Tm,Detail,ATL,PIT
0,1.0,Steelers,Roy Gerela 21 yard field goal,0,3
1,2.0,Steelers,Rocky Bleier 8 yard rush (Roy Gerela kick),0,10
2,2.0,Steelers,Terry Bradshaw 6 yard rush (Roy Gerela kick),0,17
3,3.0,Steelers,Rocky Bleier 2 yard rush (Roy Gerela kick),0,24
4,4.0,Steelers,John Stallworth 11 yard pass from Terry Bradshaw (Roy Gerela kick),0,31
5,4.0,Falcons,Wallace Francis 11 yard pass from Steve Bartkowski (Fred Steinfort kick),7,31
