,Quarter,Tm,Detail,SFO,NOR
0,2.0,Saints,Henry Childs 46 yard pass from Bobby Scott (Rich Szaro kick),0,7
1,2.0,49ers,Gene Washington 20 yard pass from Scott Bull (Steve Mike-Mayer kick),7,7
2,3.0,49ers,Steve Mike-Mayer 45 yard field goal,10,7
3,3.0,49ers,Scott Bull 15 yard rush (Steve Mike-Mayer kick),17,7
4,4.0,49ers,Steve Mike-Mayer 23 yard field goal,20,7
5,4.0,49ers,Bob Ferrell 3 yard rush (Steve Mike-Mayer kick),27,7
