,Quarter,Tm,Detail,CRD,CHI
0,1.0,Bears,Phil Martinovich 26 yard field goal,0,3
1,1.0,Bears,Ray Nolting 20 yard rush (Jack Manders kick),0,10
2,1.0,Bears,Dick Plasman 20 yard pass from Sid Luckman (Bob Snyder kick),0,17
3,2.0,Bears,Ray McLean 44 yard punt return (Joe Maniaci kick),0,24
4,2.0,Bears,Joe Maniaci 5 yard interception return (Dick Plasman kick),0,31
5,4.0,Cardinals,"Safety, Luckman tackled in end zone by Huffman",2,31
6,4.0,Cardinals,Buddy Parker 2 yard rush (Buddy Parker kick),9,31
7,4.0,Cardinals,Marshall Goldberg 16 yard pass from Hugh McCullough (Buddy Parker kick),16,31
8,4.0,Cardinals,Hugh McCullough 20 yard rush (Buddy Parker kick),23,31
