,Quarter,Time,Tm,Detail,SEA,DEN
0,1.0,9:05,Seahawks,Rian Lindell 23 yard field goal,3,0
1,1.0,5:08,Broncos,Ed McCaffrey 5 yard pass from Gus Frerotte (Jason Elam kick),3,7
2,2.0,11:46,Broncos,Jimmy Spencer 79 yard interception return (Jason Elam kick),3,14
3,3.0,7:51,Broncos,Mike Anderson 1 yard rush (Jason Elam kick),3,21
4,3.0,6:16,Broncos,Jason Elam 38 yard field goal,3,24
5,3.0,0:58,Seahawks,Sean Dawkins 4 yard pass from Jon Kitna (Rian Lindell kick),10,24
6,4.0,9:21,Seahawks,Darrell Jackson 9 yard pass from Jon Kitna (Rian Lindell kick),17,24
7,4.0,5:57,Broncos,Mike Anderson 6 yard rush (Jason Elam kick),17,31
8,4.0,2:28,Seahawks,Sean Dawkins 22 yard pass from Jon Kitna (Rian Lindell kick),24,31
