,Quarter,Tm,Detail,RAC,GNB
0,1.0,Packers,Curly Lambeau blocked punt recovery in end zone,0,6
1,2.0,Legion,Al Elliott 2 yard rush (Hank Gillo kick),7,6
2,2.0,Legion,Hank Gillo 25 yard field goal,10,6
