,Quarter,Tm,Detail,CLE,DAL
0,1.0,Cowboys,Danny Villanueva 11 yard field goal,0,3
1,1.0,Cowboys,Danny Villanueva 31 yard field goal,0,6
2,2.0,Browns,Leroy Kelly 1 yard rush (Lou Groza kick),7,6
3,2.0,Cowboys,Dan Reeves 6 yard pass from Don Meredith (Danny Villanueva kick),7,13
4,2.0,Browns,Ernie Green 16 yard pass from Frank Ryan (Lou Groza kick),14,13
5,3.0,Cowboys,Danny Villanueva 12 yard field goal,14,16
6,3.0,Cowboys,Danny Villanueva 13 yard field goal,14,19
7,4.0,Cowboys,Don Perkins 9 yard rush (Danny Villanueva kick),14,26
