,Quarter,Tm,Detail,CIN,NYJ
0,1.0,Jets,Jim Turner 29 yard field goal,0,3
1,1.0,Jets,Jim Turner 41 yard field goal,0,6
2,2.0,Jets,Jim Turner 50 yard field goal,0,9
3,2.0,Jets,George Sauer 5 yard pass from Joe Namath (Jim Turner kick),0,16
4,2.0,Jets,Jim Turner 17 yard field goal,0,19
5,3.0,Jets,George Sauer 15 yard pass from Joe Namath (Jim Turner kick),0,26
6,3.0,Jets,Pete Lammons 8 yard pass from Babe Parilli (Jim Turner kick),0,33
7,4.0,Bengals,Bob Trumpy 8 yard pass from Greg Cook (Horst Muhlmann kick),7,33
8,4.0,Jets,Bill Mathis 11 yard rush (Jim Turner kick),7,40
