,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,9:40,Dolphins,Jay Feely 38 yard field goal,0,3
1,3.0,10:58,Bills,"Safety,",2,3
2,3.0,0:00,Dolphins,Cleo Lemon 5 yard rush (Jay Feely kick),2,10
3,4.0,9:46,Bills,Marshawn Lynch 3 yard rush (Marshawn Lynch run),10,10
4,4.0,0:46,Bills,Rian Lindell 34 yard field goal,13,10
