,Quarter,Tm,Detail,SFO,DAL
0,2,Cowboys,Calvin Hill 1 yard rush (Mike Clark kick),0,7
1,3,49ers,Bruce Gossett 28 yard field goal,3,7
2,4,Cowboys,Duane Thomas 2 yard rush (Mike Clark kick),3,14
