,Quarter,Tm,Detail,NYG,PHI
0,1.0,Eagles,Randall Cunningham 4 yard rush (Paul McFadden kick),0,7
1,1.0,Eagles,Paul McFadden 25 yard field goal,0,10
2,1.0,Giants,Lionel Manuel 36 yard pass from Jeff Rutledge (Raul Allegre kick),7,10
3,2.0,Giants,Raul Allegre 53 yard field goal,10,10
4,3.0,Eagles,Keith Byars 8 yard pass from Randall Cunningham (Paul McFadden kick),10,17
5,3.0,Giants,George Adams 1 yard rush (Raul Allegre kick),17,17
6,4.0,Giants,Raul Allegre 52 yard field goal,20,17
