,Quarter,Tm,Detail,MIN,PHI
0,1.0,Eagles,Roger Ruzek 38 yard field goal,0,3
1,1.0,Eagles,Calvin Williams 19 yard pass from Randall Cunningham,0,9
2,1.0,Vikings,Cris Carter 42 yard pass from Rich Gannon (Donald Igwebuike kick),7,9
3,2.0,Vikings,Rick Fenney 1 yard rush (Donald Igwebuike kick),14,9
4,2.0,Vikings,Cris Carter 78 yard pass from Rich Gannon (Donald Igwebuike kick),21,9
5,3.0,Eagles,Roger Ruzek 30 yard field goal,21,12
6,3.0,Eagles,Roger Ruzek 29 yard field goal,21,15
7,4.0,Vikings,Donald Igwebuike 33 yard field goal,24,15
8,4.0,Eagles,Fred Barnett 40 yard pass from Randall Cunningham (Roger Ruzek kick),24,22
9,4.0,Eagles,Anthony Toney 6 yard rush (Roger Ruzek kick),24,29
10,4.0,Eagles,Roger Ruzek 19 yard field goal,24,32
