,Quarter,Tm,Detail,SEA,RAI
0,1.0,Raiders,Jeff Jaeger 47 yard field goal,0,3
1,1.0,Raiders,Jeff Jaeger 43 yard field goal,0,6
2,2.0,Raiders,Ethan Horton 9 yard pass from Jay Schroeder (Jeff Jaeger kick),0,13
3,3.0,Raiders,Eric Dickerson 1 yard rush (Jeff Jaeger kick),0,20
4,4.0,Seahawks,John Kasay 43 yard field goal,3,20
