,Quarter,Tm,Detail,SFO,NYJ
0,1.0,49ers,Brent Jones 10 yard pass from Steve Young (Mike Cofer kick),7,0
1,2.0,Jets,Erik McMillan 45 yard defensive fumble return (Pat Leahy kick),7,7
2,2.0,49ers,Jerry Rice 45 yard pass from Steve Bono (Mike Cofer kick),14,7
3,2.0,49ers,Mike Cofer 25 yard field goal,17,7
4,2.0,49ers,Mike Cofer 41 yard field goal,20,7
5,3.0,Jets,Pat Leahy 34 yard field goal,20,10
6,3.0,49ers,Mike Cofer 40 yard field goal,23,10
