,Quarter,Tm,Detail,DET,ATL
0,1,Lions,Billy Sims 9 yard rush (Eddie Murray kick),7,0
1,1,Lions,Eddie Murray 46 yard field goal,10,0
2,2,Lions,David Lewis 11 yard pass from Gary Danielson (Eddie Murray kick),17,0
3,2,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),17,7
4,2,Falcons,Mick Luckhurst 51 yard field goal,17,10
5,3,Falcons,Billy Johnson 45 yard pass from Steve Bartkowski (Mick Luckhurst kick),17,17
6,3,Lions,Leonard Thompson 11 yard pass from Gary Danielson (Eddie Murray kick),24,17
7,4,Falcons,Stacey Bailey 29 yard pass from Steve Bartkowski (Mick Luckhurst kick),24,24
8,OT,Lions,Eddie Murray 48 yard field goal,27,24
