,Quarter,Time,Tm,Detail,MIA,DET
0,1.0,14:39,Dolphins,Lamar Smith 46 yard rush (Olindo Mare kick),7,0
1,1.0,8:31,Dolphins,Lamar Smith 8 yard rush (Olindo Mare kick),14,0
2,2.0,10:52,Dolphins,Olindo Mare 40 yard field goal,17,0
3,3.0,12:35,Dolphins,Olindo Mare 38 yard field goal,20,0
4,3.0,0:52,Dolphins,Olindo Mare 41 yard field goal,23,0
5,4.0,11:01,Lions,James Stewart 3 yard rush (Johnnie Morton pass from Stoney Case),23,8
