,Quarter,Time,Tm,Detail,CAR,JAX
0,1.0,,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),0,7
1,1.0,,Jaguars,Jimmy Smith 8 yard pass from Mark Brunell (Mike Hollis kick),0,14
2,2.0,,Jaguars,Mike Hollis 53 yard field goal,0,17
3,3.0,,Panthers,Mark Carrier 24 yard pass from Steve Beuerlein,6,17
4,4.0,,Jaguars,James Stewart 4 yard rush (Mike Hollis kick),6,24
5,4.0,,Panthers,Mark Carrier 3 yard pass from Kerry Collins (Kerry Collins run),14,24
