,Quarter,Tm,Detail,CLE,WAS
0,1.0,Browns,Lou Groza 9 yard field goal,3,0
1,2.0,Redskins,Hugh Taylor 61 yard pass from Jack Scarbath (Bill Dudley kick),3,7
2,2.0,Browns,Lou Groza 29 yard field goal,6,7
3,2.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),13,7
4,4.0,Redskins,Jack Cloud 28 yard interception return (Bill Dudley kick),13,14
5,4.0,Browns,Dante Lavelli 25 yard pass from Otto Graham (Lou Groza kick),20,14
6,4.0,Browns,Billy Reynolds 9 yard rush (Lou Groza kick),27,14
7,4.0,Browns,Lou Groza 23 yard field goal,30,14
