,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Patriots,Tony Franklin 33 yard field goal,3,0
1,2.0,Jets,Johnny Hector 11 yard pass from Ken O'Brien (Pat Leahy kick),3,7
2,2.0,Patriots,Tony Franklin 41 yard field goal,6,7
3,2.0,Patriots,Stanley Morgan 36 yard pass from Tony Eason (Tony Franklin kick),13,7
4,3.0,Patriots,Tony Franklin 20 yard field goal,16,7
5,3.0,Patriots,Johnny Rembert 15 yard special teams fumble return (Tony Franklin kick),23,7
6,3.0,Jets,Mickey Shuler 12 yard pass from Pat Ryan (Pat Leahy kick),23,14
7,4.0,Patriots,Tony Franklin 26 yard field goal,26,14
