,Quarter,Time,Tm,Detail,JAX,DET
0,1.0,,Lions,Jason Hanson 38 yard field goal,0,3
1,1.0,,Lions,Johnnie Morton 23 yard pass from Scott Mitchell (Jason Hanson kick),0,10
2,2.0,,Lions,Barry Sanders 4 yard rush (Jason Hanson kick),0,17
3,2.0,,Lions,Jason Hanson 39 yard field goal,0,20
4,2.0,,Lions,Barry Sanders 2 yard rush (Jason Hanson kick),0,27
5,3.0,,Lions,Jason Hanson 33 yard field goal,0,30
6,3.0,,Lions,Johnnie Morton 17 yard pass from Scott Mitchell (Jason Hanson kick),0,37
7,4.0,,Lions,Ron Rivers 2 yard rush (Jason Hanson kick),0,44
