,Quarter,Tm,Detail,BUF,DAL
0,1.0,Bills,Carwell Gardner 10 yard pass from Jim Kelly (Steve Christie kick),7,0
1,2.0,Bills,Steve Christie 48 yard field goal,10,0
2,2.0,Cowboys,Lin Elliott 43 yard field goal,10,3
3,4.0,Cowboys,Kevin Williams 5 yard rush (Lin Elliott kick),10,10
4,4.0,Bills,Steve Christie 35 yard field goal,13,10
