,Quarter,Tm,Detail,DAL,BAL
0,1.0,Colts,Lou Michaels 29 yard field goal,0,3
1,2.0,Colts,Raymond Berry 5 yard pass from Johnny Unitas (Lou Michaels kick),0,10
2,2.0,Cowboys,Bob Hayes 35 yard pass from Don Meredith (Danny Villanueva kick),7,10
3,2.0,Cowboys,Dave Edwards 26 yard interception return (Danny Villanueva kick),14,10
4,3.0,Cowboys,Danny Villanueva 17 yard field goal,17,10
5,4.0,Colts,Lou Michaels 53 yard field goal,17,13
6,4.0,Colts,Lou Michaels 27 yard field goal,17,16
7,4.0,Colts,Lenny Moore 2 yard rush (Lou Michaels kick),17,23
