,Quarter,Tm,Detail,STL,NYG
0,1.0,Cardinals,Ottis Anderson 6 yard rush (Neil O'Donoghue kick),7,0
1,3.0,Cardinals,Neil O'Donoghue 43 yard field goal,10,0
2,3.0,Cardinals,Neil O'Donoghue 41 yard field goal,13,0
3,4.0,Giants,Larry Heater 10 yard rush (Joe Danelo kick),13,7
4,4.0,Cardinals,Neil O'Donoghue 23 yard field goal,16,7
5,4.0,Cardinals,Ottis Anderson 18 yard rush (Neil O'Donoghue kick),23,7
