,Quarter,Tm,Detail,CHI,BOS
0,1.0,Bears,Noah Mullins 17 yard pass from Bobby Layne (Johnny Lujack kick),7,0
1,1.0,Bears,Al Lawler 23 yard field goal,10,0
2,1.0,Yanks,Frank Seno 68 yard pass from Gene Malinowski (Nick Scollard kick),10,7
3,2.0,Bears,Jim Keane 3 yard pass from Sid Luckman (Johnny Lujack kick),17,7
4,2.0,Yanks,Nick Scollard 30 yard field goal,17,10
5,3.0,Bears,Frank Minini 35 yard fumble return (Johnny Lujack kick),24,10
6,3.0,Bears,Frank Minini 1 yard rush (Johnny Lujack kick),31,10
7,3.0,Bears,Frank Minini 14 yard pass from Sid Luckman (Johnny Lujack kick),38,10
8,4.0,Yanks,Bill Chipley 5 yard pass from Gene Malinowski (Nick Scollard kick),38,17
9,4.0,Bears,Mike Holovak 47 yard rush (Johnny Lujack kick),45,17
10,4.0,Bears,Bobby Layne 5 yard rush,51,17
