,Quarter,Time,Tm,Detail,KAN,DEN
0,1.0,9:10,Chiefs,Tony Richardson 1 yard rush (Pete Stoyanovich kick),7,0
1,1.0,2:02,Broncos,Joe Nedney 22 yard field goal,7,3
2,2.0,8:53,Broncos,Joe Nedney 20 yard field goal,7,6
3,2.0,6:40,Broncos,Ray Crockett 26 yard interception return (pass failed),7,12
4,3.0,11:26,Broncos,Mike Anderson 16 yard rush (Joe Nedney kick),7,19
5,3.0,7:23,Chiefs,Tony Gonzalez 15 yard pass from Elvis Grbac (Pete Stoyanovich kick),14,19
6,3.0,3:56,Broncos,Joe Nedney 43 yard field goal,14,22
7,4.0,8:19,Chiefs,Pete Stoyanovich 42 yard field goal,17,22
8,4.0,2:21,Chiefs,Derrick Alexander 22 yard pass from Elvis Grbac (pass failed),23,22
