,Quarter,Tm,Detail,ATL,RAM
0,2.0,Falcons,Lynn Cain 31 yard rush (Mick Luckhurst kick),7,0
1,2.0,Falcons,Mick Luckhurst 52 yard field goal,10,0
2,2.0,Rams,Henry Ellard 14 yard pass from Steve Dils (Mike Lansford kick),10,7
3,3.0,Rams,Eric Dickerson 2 yard rush (Mike Lansford kick),10,14
4,3.0,Falcons,Lynn Cain 1 yard rush (Mick Luckhurst kick),17,14
5,3.0,Rams,Drew Hill 63 yard pass from Jeff Kemp (Mike Lansford kick),17,21
6,4.0,Falcons,Lynn Cain 9 yard rush (Mick Luckhurst kick),24,21
7,4.0,Falcons,Mick Luckhurst 50 yard field goal,27,21
8,4.0,Rams,Eric Dickerson 47 yard rush (Mike Lansford kick),27,28
9,4.0,Falcons,Mick Luckhurst 37 yard field goal,30,28
