,Quarter,Time,Tm,Detail,OAK,IND
0,1.0,9:49,Raiders,Sebastian Janikowski 39 yard field goal,3,0
1,2.0,12:30,Raiders,Sebastian Janikowski 42 yard field goal,6,0
2,2.0,8:41,Colts,Mike Vanderjagt 47 yard field goal,6,3
3,2.0,5:24,Raiders,Anthony Dorsett 39 yard interception return (Sebastian Janikowski kick),13,3
4,2.0,0:27,Colts,Marvin Harrison 3 yard pass from Peyton Manning (Mike Vanderjagt kick failed),13,9
5,3.0,10:29,Raiders,Tyrone Wheatley 1 yard rush (Sebastian Janikowski kick),20,9
6,3.0,1:09,Colts,Marvin Harrison 6 yard pass from Peyton Manning,20,15
7,4.0,14:57,Colts,Mike Vanderjagt 34 yard field goal,20,18
8,4.0,2:22,Raiders,Sebastian Janikowski 37 yard field goal,23,18
