,Quarter,Tm,Detail,PHI,RAI
0,1,Raiders,Fulton Walker 70 yard punt return (Chris Bahr kick),0,7
1,1,Eagles,Mike Quick 62 yard pass from Randall Cunningham (Paul McFadden kick),7,7
2,1,Eagles,Gregg Garrity 76 yard punt return,13,7
3,2,Raiders,Chris Bahr 38 yard field goal,13,10
4,3,Raiders,Jessie Hester 49 yard pass from Jim Plunkett (Chris Bahr kick),13,17
5,3,Eagles,Mike Quick 5 yard pass from Randall Cunningham (Paul McFadden kick),20,17
6,3,Raiders,Jessie Hester 81 yard pass from Jim Plunkett (Chris Bahr kick),20,24
7,4,Eagles,Mike Quick 10 yard pass from Randall Cunningham (Paul McFadden kick),27,24
8,4,Raiders,Chris Bahr 27 yard field goal,27,27
9,OT,Eagles,Randall Cunningham 1 yard rush,33,27
